allnpc :true
npcname:
npcuuid: 
npcjob: all

# ====== 选项池 ======
# pool+1: 选择后好感度+1的选项，每条用 | 绑定NPC回复
# pool-1: 选择后好感度-1的选项，每条用 | 绑定NPC回复
# pool0:  选择后好感度不变的选项，每条用 | 绑定NPC回复
# 每次对话随机抽3个显示，保证至少1个来自pool+1

pool+1:
    if >=<0>:
        - 你声音真好听呀 | 真的吗，那我给你唱个歌吧（这些被风刮起的牌~如同在占卜般笑着~）
        - 你声音真好听呀 | 谢谢！要是喜欢我的声音，我可以多和你聊聊天哦
    if >=<1>:
        -  （递水）渴了吧？喝点水 | 谢谢，你也喝一点吧
        - 你今天真好看呀 | 你嘴真甜呢
        - （谈话）你好有趣 | 你笑我也觉得开心
        - 累不累呀？休息下 | 还行，你呢？累不累
        - 饿不饿？吃点东西 | 有点，一起去吃点？
        - 你声音真好听呀 | 真的吗？谢谢夸奖，我超开心~
        - 冷不冷？加件衣服 | 有点，你呢？冷不冷
        - （递糖）尝尝这个糖 | 好甜，谢谢你的糖呀
        - （问）困不困？要不要睡 | 有点，你呢？困不困？
    if >=<2>:
        - 你真可爱，好喜欢 | （偷偷的笑）笨蛋~
        - 你真可爱，好喜欢 | 被夸了，好开心！
        - 你真可爱，好喜欢 | 真的吗，你也很萌呢
        - （递糖）尝尝这个糖 | 好甜，我喜欢这个
        - （递糖）尝尝这个糖 | （嚼嚼嚼）这个好好吃
        - 可以学猫叫吗 | 行吧，喵喵喵
        - 无聊吗？ | 和你聊天不无聊呀
        - 你眼睛真好看呀 | 你眼睛也很亮呢
        - 你眼睛真好看呀 | 你喜欢吗~
        - 你眼睛真好看呀 | 真的吗，谢谢呀
        - 无聊吗？ | 和你玩不无聊的哦
        - 无聊吗？ | 有点，一起玩点什么呢~
        - （递手机）看看这个，挺有趣的 | 是圆头耄耋哎
        - （递手机）看看这个，挺有趣的 | 哈哈哈，真有意思
        - （递手机）看看这个，挺有趣的 | 这上面是宝可梦吗，好可爱
        - （递手机）看看这个，挺有趣的 | 好有意思的新闻
        - （递手机）看看这个，挺有趣的 | 这是什么？什么叫女伪娘？好有意思
        - （递手机）看看这个，挺有趣的 | 你在看假面骑士哎，我喜欢加布
        - （递手机）看看这个，挺有趣的 | 你在看假面骑士哎，我喜欢艾克赛德
        - （递手机）看看这个，挺有趣的 | 你在看假面骑士哎，我喜欢欧兹
    if >=<3>:
        - （递礼物）喜欢吗？送你的礼物 | 呜哇！好惊喜！
        - （递礼物）喜欢吗？送你的礼物 | 我喜欢这个，谢谢！
        - （递礼物）喜欢吗？送你的礼物 | 这个好棒，我会记住的
        - （递零食）吃点零食，补充能量 | 好呀，一起吃零食吧
        - （递零食）吃点零食，补充能量 | 吃多了会不会生饱藏（加布梗）
        - （递零食）吃点零食，补充能量 | 吃下零食~吃下零食（加布梗）
